03_一般会計歳入予算款別内訳,,
単位：千円,,
,,
区分,平成30年度,平成29年度
都税,"5,233,161,357","5,091,111,557"
地方譲与税,"245,802,859","234,569,150"
助成交付金,"30,033","30,459"
地方特例交付金,"6,056,369","5,404,982"
特別交付金,"3,060,645","3,108,160"
,,
分担金及負担金,"16,614,876","15,187,841"
使用料及手数料,"87,607,273","88,911,351"
国庫支出金,"353,435,873","385,357,767"
財産収入,"44,276,616","47,942,279"
寄附金,"61,000","61,000"
,,
繰入金,"450,330,327","380,654,939"
諸収入,"394,905,772","403,409,515"
都債,"210,656,000","298,250,000"
繰越金,"1,000","1,000"
,,
合計,"7,046,000,000","6,954,000,000"
