04_一般会計歳出予算款別内訳,,
単位：千円,,
,,
区分,平成30年度,平成29年度
議会費,"6,097,000","6,202,000"
総務費,"190,686,000","187,749,000"
徴税費,"70,778,000","68,948,000"
生活文化費,"36,940,000","26,123,000"
スポーツ振興費,"139,430,000","64,668,000"
,,
都市整備費,"134,209,000","143,533,000"
環境費,"33,632,000","40,682,000"
福祉保健費,"1,166,799,000","1,162,821,000"
産業労働費,"456,168,000","472,902,000"
土木費,"596,500,000","590,883,000"
,,
港湾費,"122,920,000","118,601,000"
教育費,"818,371,000","809,200,000"
学務費,"207,136,000","206,909,000"
警察費,"654,675,000","646,567,000"
消防費,"254,007,000","249,101,000"
,,
公債費,"431,976,000","500,176,000"
諸支出金,"1,720,676,000","1,653,935,000"
予備費,"5,000,000","5,000,000"
,,
合計,"7,046,000,000","6,954,000,000"
