03_一般会計歳入予算款別内訳,,
単位：千円,,
,,
区分,令和２年度,令和元年度
都税,"5,444,617,534","5,503,164,711"
地方譲与税,"52,907,313","290,826,352"
助成交付金,"33,945","30,441"
地方特例交付金,"7,886,600","20,313,980"
特別交付金,"2,965,895","3,006,586"
,,
分担金及負担金,"18,693,500","15,246,059"
使用料及手数料,"88,241,256","87,767,184"
国庫支出金,"378,007,080","362,071,192"
財産収入,"35,803,665","35,682,130"
寄附金,"61,000","61,000"
,,
繰入金,"770,058,744","596,883,053"
諸収入,"346,285,468","336,351,312"
都債,"208,437,000","209,595,000"
繰越金,"1,000","1,000"
,,
合計,"7,354,000,000","7,461,000,000"
