04_一般会計歳出予算款別内訳,,
単位：千円,,
,,
区分,令和２年度,令和元年度
議会費,"6,079,000","6,044,000"
総務費,"225,522,000","214,339,000"
徴税費,"72,481,000","70,759,000"
生活文化費,"29,682,000","28,810,000"
スポーツ振興費,"335,447,000","348,238,000"
,,
都市整備費,"140,448,000","138,844,000"
環境費,"59,324,000","41,695,000"
福祉保健費,"1,240,377,000","1,221,374,000"
産業労働費,"433,976,000","478,173,000"
土木費,"583,235,000","575,330,000"
,,
港湾費,"113,327,000","129,855,000"
教育費,"867,498,000","843,366,000"
学務費,"235,525,000","211,889,000"
警察費,"666,442,000","672,223,000"
消防費,"255,623,000","268,492,000"
,,
公債費,"349,040,000","366,832,000"
諸支出金,"1,734,974,000","1,839,737,000"
予備費,"5,000,000","5,000,000"
,,
,"7,354,000,000","7,461,000,000"
