03_一般会計歳入予算款別内訳,,
単位：千円,,
,,
区分,令和３年度,令和２年度
都税,"5,044,998,267","5,444,617,534"
地方譲与税,"44,789,557","52,907,313"
助成交付金,"34,164","33,945"
地方特例交付金,"19,873,905","7,886,600"
特別交付金,"2,998,612","2,965,895"
,,
分担金及負担金,"21,113,169","18,693,500"
使用料及手数料,"87,422,012","88,241,256"
国庫支出金,"381,665,331","378,007,080"
財産収入,"41,952,319","35,803,665"
寄附金,"61,000","61,000"
,,
繰入金,"835,731,428","770,058,744"
諸収入,"356,758,236","346,285,468"
都債,"587,601,000","208,437,000"
繰越金,"1,000","1,000"
,,
合計,"7,425,000,000","7,354,000,000"
