04_一般会計歳出予算款別内訳,,
単位：千円,,
,,
区分,令和３年度,令和２年度
議会費,"6,152,000","6,079,000"
総務費,"223,166,000","225,522,000"
徴税費,"73,114,000","72,481,000"
生活文化費,"27,635,000","29,682,000"
スポーツ振興費,"412,220,000","335,447,000"
,,
都市整備費,"120,090,000","140,448,000"
環境費,"53,812,000","59,324,000"
福祉保健費,"1,258,929,000","1,240,377,000"
産業労働費,"526,328,000","433,976,000"
土木費,"564,635,000","583,235,000"
,,
港湾費,"107,454,000","113,327,000"
教育費,"863,695,000","867,498,000"
学務費,"235,683,000","235,525,000"
警察費,"652,176,000","666,442,000"
消防費,"251,067,000","255,623,000"
,,
公債費,"332,250,000","349,040,000"
諸支出金,"1,711,594,000","1,734,974,000"
予備費,"5,000,000","5,000,000"
,,
,"7,425,000,000","7,354,000,000"
