03_一般会計歳入予算款別内訳,,
単位：千円,,
,,
区分,令和４年度,令和３年度
都税,"5,630,771,320","5,044,998,267"
地方譲与税,"49,226,668","44,789,557"
助成交付金,"36,225","34,164"
地方特例交付金,"7,659,452","19,873,905"
特別交付金,"3,093,032","2,998,612"
,,
分担金及負担金,"20,736,267","21,113,169"
使用料及手数料,"85,561,034","87,422,012"
国庫支出金,"742,187,121","381,665,331"
財産収入,"43,855,725","41,952,319"
寄附金,"61,000","61,000"
,,
繰入金,"567,250,117","835,731,428"
諸収入,"355,993,039","356,758,236"
都債,"294,568,000","587,601,000"
繰越金,"1,000","1,000"
,,
合計,"7,801,000,000","7,425,000,000"
