04_一般会計歳出予算款別内訳,,
単位：千円,,
,,
区分,令和４年度,令和３年度
議会費,"6,057,000","6,152,000"
総務費,"234,806,000","613,252,155"
徴税費,"76,225,000","73,114,000"
生活文化スポーツ費,"59,219,000","49,768,845"
都市整備費,"126,198,000","120,090,000"
,,
環境費,"118,426,000","53,812,000"
福祉保健費,"1,698,873,000","1,258,929,000"
産業労働費,"569,516,000","526,328,000"
土木費,"585,509,000","564,635,000"
港湾費,"106,937,000","107,454,000"
,,
教育費,"876,381,000","863,695,000"
学務費,"239,744,000","235,683,000"
警察費,"658,106,000","652,176,000"
消防費,"253,422,000","251,067,000"
公債費,"345,627,000","332,250,000"
,,
諸支出金,"1,840,954,000","1,711,594,000"
予備費,"5,000,000","5,000,000"
,,
,"7,801,000,000","7,425,000,000"
