03_一般会計歳入予算款別内訳,,
単位：千円,,
,,
区分,令和５年度,令和４年度
都税,"6,200,976,491","5,630,771,320"
地方譲与税,"67,242,680","49,226,668"
助成交付金,"43,320","36,225"
地方特例交付金,"7,282,156","7,659,452"
特別交付金,"3,152,537","3,093,032"
,,
分担金及負担金,"24,931,418","20,736,267"
使用料及手数料,"84,576,469","85,561,034"
国庫支出金,"388,094,660","742,187,121"
財産収入,"47,462,666","43,855,725"
寄附金,"61,000","61,000"
,,
繰入金,"501,608,988","567,250,117"
諸収入,"424,749,615","355,993,039"
都債,"290,817,000","294,568,000"
繰越金,"1,000","1,000"
,,
合計,"8,041,000,000","7,801,000,000"
