04_一般会計歳出予算款別内訳,,
単位：千円,,
,,
区分,令和５年度,令和４年度
議会費,"5,841,000","5,799,409"
総務費,"293,685,000","260,419,313"
徴税費,"77,203,000","72,094,225"
生活文化スポーツ費,"59,582,000","57,724,800"
都市整備費,"127,418,000","124,474,334"
,,
環境費,"154,861,000","80,949,926"
福祉保健費,"1,522,446,000","1,690,081,056"
産業労働費,"673,326,000","603,511,912"
土木費,"621,902,000","581,548,880"
港湾費,"106,274,000","105,975,135"
,,
教育費,"896,484,000","875,897,516"
学務費,"243,336,000","239,632,499"
警察費,"661,775,000","658,106,000"
消防費,"259,976,000","253,422,000"
公債費,"344,189,000","345,627,000"
,,
諸支出金,"1,987,702,000","1,840,735,995"
予備費,"5,000,000","5,000,000"
,,
合計,"8,041,000,000","7,801,000,000"
,,
,,
